"id1" "id2" "simpson"
12 44 0.4375
13 44 0.5625
14 44 0.133333333333333
15 44 1
16 44 0.6875
17 44 1
18 44 0.6
19 44 0.533333333333333
23 44 0.5
24 44 0.0666666666666667
25 44 0.625
26 44 0.6875
27 44 0.75
28 44 0.3125
29 44 0.733333333333333
30 44 0.6875
31 44 0.9375
32 44 0.428571428571429
33 44 0.6875
34 44 0.6875
35 44 0.875
36 44 1
37 44 0.3125
39 44 0.0714285714285714
40 44 0.0625
42 44 0.4375
43 44 0.1875
1 45 0.4375
2 45 0.125
3 45 0.125
4 45 0.5
5 45 0.5
7 45 0.266666666666667
10 45 0.5
11 45 0.25
12 45 0.75
13 45 0.1875
14 45 0.0666666666666667
15 45 0.538461538461538
16 45 0.25
17 45 0.642857142857143
18 45 0.8
19 45 0.866666666666667
20 45 0.285714285714286
22 45 0.0666666666666667
23 45 0.875
25 45 0.1875
26 45 0.875
27 45 0.3125
28 45 0.5625
29 45 0.266666666666667
30 45 0.9375
31 45 0.5
32 45 0.714285714285714
33 45 1
34 45 0.875
35 45 0.625
36 45 0.533333333333333
37 45 0.5625
38 45 0.285714285714286
39 45 0.357142857142857
40 45 0.3125
41 45 0.0666666666666667
42 45 0.6875
43 45 0.4375
44 45 0.5625
8 46 0.357142857142857
9 46 0.285714285714286
10 46 0.785714285714286
11 46 0.571428571428571
12 46 0.571428571428571
18 46 0.214285714285714
19 46 0.428571428571429
20 46 0.714285714285714
21 46 0.214285714285714
22 46 0.428571428571429
23 46 0.428571428571429
26 46 0.214285714285714
28 46 0.857142857142857
30 46 0.285714285714286
32 46 0.571428571428571
33 46 0.285714285714286
34 46 0.214285714285714
35 46 0.0714285714285714
37 46 0.857142857142857
38 46 0.785714285714286
39 46 0.785714285714286
40 46 0.785714285714286
41 46 0.428571428571429
42 46 0.714285714285714
43 46 0.928571428571429
45 46 0.285714285714286
1 47 0.666666666666667
2 47 0.666666666666667
3 47 0.866666666666667
4 47 0.6
5 47 0.666666666666667
6 47 0.230769230769231
7 47 0.733333333333333
10 47 0.0666666666666667
12 47 0.0666666666666667
13 47 1
14 47 0.533333333333333
15 47 0.615384615384615
16 47 0.8
17 47 0.571428571428571
18 47 0.2
19 47 0.133333333333333
23 47 0.2
24 47 0.466666666666667
25 47 1
26 47 0.333333333333333
27 47 0.733333333333333
28 47 0.0666666666666667
29 47 0.733333333333333
30 47 0.333333333333333
31 47 0.666666666666667
32 47 0.0714285714285714
33 47 0.333333333333333
34 47 0.333333333333333
35 47 0.6
36 47 0.6
37 47 0.0666666666666667
39 47 0.0714285714285714
40 47 0.0666666666666667
42 47 0.133333333333333
43 47 0.0666666666666667
44 47 0.6
45 47 0.2
1 48 0.3125
4 48 0.3125
5 48 0.3125
7 48 0.133333333333333
8 48 0.133333333333333
9 48 0.125
10 48 0.875
11 48 0.375
12 48 0.75
13 48 0.0625
15 48 0.307692307692308
16 48 0.125
17 48 0.357142857142857
18 48 0.533333333333333
19 48 0.733333333333333
20 48 0.571428571428571
21 48 0.125
22 48 0.2
23 48 0.6875
25 48 0.0625
26 48 0.5
27 48 0.1875
28 48 1
29 48 0.133333333333333
30 48 0.5625
31 48 0.3125
32 48 0.928571428571429
33 48 0.5625
34 48 0.5
35 48 0.375
36 48 0.333333333333333
37 48 1
38 48 0.642857142857143
39 48 0.714285714285714
40 48 0.625
41 48 0.2
42 48 0.9375
43 48 0.875
44 48 0.3125
45 48 0.5625
46 48 0.785714285714286
47 48 0.0666666666666667
8 49 0.428571428571429
9 49 0.285714285714286
10 49 0.714285714285714
11 49 0.785714285714286
12 49 0.571428571428571
18 49 0.214285714285714
19 49 0.428571428571429
20 49 0.857142857142857
21 49 0.285714285714286
22 49 0.571428571428571
23 49 0.428571428571429
26 49 0.214285714285714
28 49 0.714285714285714
30 49 0.285714285714286
32 49 0.5
33 49 0.285714285714286
34 49 0.214285714285714
35 49 0.0714285714285714
37 49 0.785714285714286
38 49 0.928571428571429
39 49 0.857142857142857
40 49 1
41 49 0.571428571428571
42 49 0.642857142857143
43 49 0.857142857142857
45 49 0.285714285714286
46 49 0.785714285714286
48 49 0.642857142857143
8 50 0.466666666666667
9 50 0.294117647058823
10 50 0.470588235294118
11 50 0.875
12 50 0.375
18 50 0.133333333333333
19 50 0.333333333333333
20 50 0.928571428571429
21 50 0.294117647058823
22 50 0.8
23 50 0.3125
26 50 0.125
28 50 0.470588235294118
30 50 0.176470588235294
32 50 0.357142857142857
33 50 0.176470588235294
34 50 0.176470588235294
35 50 0.0625
37 50 0.529411764705882
38 50 0.857142857142857
39 50 0.785714285714286
40 50 0.8125
41 50 0.666666666666667
42 50 0.411764705882353
43 50 0.647058823529412
45 50 0.1875
46 50 0.714285714285714
48 50 0.4375
49 50 0.857142857142857
1 51 0.4
2 51 0.0666666666666667
3 51 0.0666666666666667
4 51 0.466666666666667
5 51 0.466666666666667
7 51 0.2
10 51 0.6
11 51 0.266666666666667
12 51 0.866666666666667
13 51 0.133333333333333
14 51 0.0666666666666667
15 51 0.461538461538462
16 51 0.2
17 51 0.571428571428571
18 51 0.8
19 51 0.866666666666667
20 51 0.357142857142857
22 51 0.0666666666666667
23 51 0.933333333333333
25 51 0.133333333333333
26 51 0.866666666666667
27 51 0.266666666666667
28 51 0.666666666666667
29 51 0.2
30 51 0.866666666666667
31 51 0.466666666666667
32 51 0.785714285714286
33 51 0.933333333333333
34 51 0.866666666666667
35 51 0.6
36 51 0.466666666666667
37 51 0.666666666666667
38 51 0.357142857142857
39 51 0.428571428571429
40 51 0.4
41 51 0.0666666666666667
42 51 0.8
43 51 0.533333333333333
44 51 0.533333333333333
45 51 0.933333333333333
46 51 0.357142857142857
47 51 0.133333333333333
48 51 0.666666666666667
49 51 0.357142857142857
50 51 0.266666666666667
8 52 0.933333333333333
9 52 0.75
10 52 0.25
11 52 0.5625
12 52 0.125
19 52 0.0666666666666667
20 52 0.5
21 52 0.75
22 52 0.8
23 52 0.0625
26 52 0.0625
28 52 0.25
30 52 0.125
32 52 0.0714285714285714
33 52 0.0625
34 52 0.0625
37 52 0.3125
38 52 0.5
39 52 0.428571428571429
40 52 0.5
41 52 0.866666666666667
42 52 0.1875
43 52 0.4375
45 52 0.0625
46 52 0.428571428571429
48 52 0.1875
49 52 0.5
50 52 0.5625
51 52 0.0666666666666667
1 53 0.285714285714286
4 53 0.285714285714286
5 53 0.285714285714286
7 53 0.142857142857143
8 53 0.0714285714285714
9 53 0.0714285714285714
10 53 1
11 53 0.357142857142857
12 53 0.857142857142857
13 53 0.0714285714285714
15 53 0.307692307692308
16 53 0.142857142857143
17 53 0.285714285714286
18 53 0.5
19 53 0.714285714285714
20 53 0.5
22 53 0.142857142857143
23 53 0.714285714285714
25 53 0.0714285714285714
26 53 0.5
27 53 0.214285714285714
28 53 1
29 53 0.142857142857143
30 53 0.5
31 53 0.285714285714286
32 53 0.857142857142857
33 53 0.571428571428571
34 53 0.5
35 53 0.357142857142857
36 53 0.285714285714286
37 53 1
38 53 0.571428571428571
39 53 0.642857142857143
40 53 0.642857142857143
41 53 0.142857142857143
42 53 0.857142857142857
43 53 0.928571428571429
44 53 0.285714285714286
45 53 0.571428571428571
46 53 0.714285714285714
47 53 0.0714285714285714
48 53 0.928571428571429
49 53 0.571428571428571
50 53 0.428571428571429
51 53 0.642857142857143
52 53 0.142857142857143
1 54 0.125
4 54 0.125
5 54 0.125
7 54 0.133333333333333
8 54 0.266666666666667
9 54 0.117647058823529
10 54 0.823529411764706
11 54 0.625
12 54 0.625
13 54 0.0625
15 54 0.153846153846154
16 54 0.125
17 54 0.142857142857143
18 54 0.333333333333333
19 54 0.533333333333333
20 54 0.857142857142857
21 54 0.117647058823529
22 54 0.466666666666667
23 54 0.5
25 54 0.0588235294117647
26 54 0.3125
27 54 0.0625
28 54 0.764705882352941
29 54 0.133333333333333
30 54 0.352941176470588
31 54 0.125
32 54 0.714285714285714
33 54 0.352941176470588
34 54 0.294117647058823
35 54 0.1875
36 54 0.133333333333333
37 54 0.823529411764706
38 54 0.928571428571429
39 54 0.928571428571429
40 54 0.875
41 54 0.466666666666667
42 54 0.647058823529412
43 54 0.941176470588235
44 54 0.125
45 54 0.375
46 54 0.857142857142857
47 54 0.0666666666666667
48 54 0.75
49 54 0.857142857142857
50 54 0.647058823529412
51 54 0.466666666666667
52 54 0.375
53 54 0.857142857142857
8 55 0.384615384615385
9 55 0.307692307692308
10 55 0.615384615384615
11 55 0.923076923076923
12 55 0.461538461538462
18 55 0.153846153846154
19 55 0.384615384615385
20 55 0.923076923076923
21 55 0.307692307692308
22 55 0.692307692307692
23 55 0.384615384615385
26 55 0.230769230769231
28 55 0.615384615384615
30 55 0.307692307692308
32 55 0.384615384615385
33 55 0.307692307692308
34 55 0.153846153846154
35 55 0.0769230769230769
37 55 0.692307692307692
38 55 0.846153846153846
39 55 0.769230769230769
40 55 0.923076923076923
41 55 0.615384615384615
42 55 0.538461538461538
43 55 0.769230769230769
45 55 0.307692307692308
46 55 0.615384615384615
48 55 0.538461538461538
49 55 0.846153846153846
50 55 0.923076923076923
51 55 0.307692307692308
52 55 0.538461538461538
53 55 0.461538461538462
54 55 0.769230769230769
1 56 0.4375
2 56 0.125
3 56 0.125
4 56 0.5
5 56 0.5
7 56 0.266666666666667
10 56 0.5625
11 56 0.25
12 56 0.8125
13 56 0.1875
15 56 0.538461538461538
16 56 0.25
17 56 0.642857142857143
18 56 0.866666666666667
19 56 0.933333333333333
20 56 0.357142857142857
22 56 0.0666666666666667
23 56 0.875
25 56 0.1875
26 56 0.875
27 56 0.3125
28 56 0.625
29 56 0.266666666666667
30 56 0.875
31 56 0.5
32 56 0.785714285714286
33 56 0.9375
34 56 0.875
35 56 0.625
36 56 0.533333333333333
37 56 0.625
38 56 0.357142857142857
39 56 0.428571428571429
40 56 0.375
41 56 0.0666666666666667
42 56 0.6875
43 56 0.5
44 56 0.5625
45 56 0.875
46 56 0.357142857142857
47 56 0.2
48 56 0.625
49 56 0.357142857142857
50 56 0.25
51 56 0.933333333333333
52 56 0.0625
53 56 0.642857142857143
54 56 0.4375
55 56 0.307692307692308
1 57 0.0769230769230769
4 57 0.0769230769230769
5 57 0.0769230769230769
7 57 0.0769230769230769
8 57 0.384615384615385
9 57 0.230769230769231
10 57 0.846153846153846
11 57 0.692307692307692
12 57 0.692307692307692
13 57 0.0769230769230769
15 57 0.0769230769230769
16 57 0.0769230769230769
17 57 0.0769230769230769
18 57 0.307692307692308
19 57 0.538461538461538
20 57 0.846153846153846
21 57 0.230769230769231
22 57 0.461538461538462
23 57 0.538461538461538
25 57 0.0769230769230769
26 57 0.307692307692308
27 57 0.0769230769230769
28 57 0.846153846153846
29 57 0.0769230769230769
30 57 0.384615384615385
31 57 0.0769230769230769
32 57 0.615384615384615
33 57 0.384615384615385
34 57 0.307692307692308
35 57 0.153846153846154
36 57 0.0769230769230769
37 57 0.923076923076923
38 57 0.923076923076923
39 57 0.923076923076923
40 57 1
41 57 0.461538461538462
42 57 0.769230769230769
43 57 1
44 57 0.0769230769230769
45 57 0.384615384615385
46 57 0.846153846153846
47 57 0.0769230769230769
48 57 0.769230769230769
49 57 0.923076923076923
50 57 0.769230769230769
51 57 0.461538461538462
52 57 0.461538461538462
53 57 0.692307692307692
54 57 0.923076923076923
55 57 0.692307692307692
56 57 0.461538461538462
1 58 0.214285714285714
2 58 0.785714285714286
3 58 0.642857142857143
4 58 0.142857142857143
5 58 0.214285714285714
6 58 0.769230769230769
7 58 0.285714285714286
13 58 0.571428571428571
14 58 0.928571428571429
15 58 0.0769230769230769
16 58 0.357142857142857
17 58 0.0714285714285714
19 58 0.0714285714285714
23 58 0.0714285714285714
24 58 0.928571428571429
25 58 0.5
26 58 0.0714285714285714
27 58 0.285714285714286
29 58 0.285714285714286
30 58 0.0714285714285714
31 58 0.214285714285714
33 58 0.0714285714285714
34 58 0.0714285714285714
35 58 0.214285714285714
36 58 0.142857142857143
44 58 0.142857142857143
45 58 0.0714285714285714
47 58 0.5
56 58 0.0714285714285714
8 59 0.714285714285714
9 59 0.642857142857143
10 59 0.285714285714286
11 59 0.714285714285714
12 59 0.142857142857143
19 59 0.0714285714285714
20 59 0.571428571428571
21 59 0.642857142857143
22 59 0.928571428571429
23 59 0.0714285714285714
26 59 0.0714285714285714
28 59 0.285714285714286
30 59 0.142857142857143
32 59 0.0714285714285714
33 59 0.0714285714285714
34 59 0.0714285714285714
37 59 0.357142857142857
38 59 0.5
39 59 0.428571428571429
40 59 0.571428571428571
41 59 0.785714285714286
42 59 0.214285714285714
43 59 0.428571428571429
45 59 0.0714285714285714
46 59 0.428571428571429
48 59 0.214285714285714
49 59 0.571428571428571
50 59 0.714285714285714
51 59 0.0714285714285714
52 59 0.785714285714286
53 59 0.142857142857143
